Nom commun;Genre;Espèce;Origine;Taille cm;pH;Dureté;T°C;Volume en spécifique;Mode de maintenance;Comportement global;Reproduction;Mode de reproduction;Nourriture;Particularités;Photo
Tétra cerise/laiton;Hemigrammus;rodwayi;Amazonie;5;neutre;moyenne;26;100;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante herbivore;Photo/AquapagnonLogo.jpg
Tétra citron;Hyphessobrycon;pulchripinnis;Amazonie;4;acide;douce;26;80;Groupe de 5;Bon;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra coletti;Moenkhausia;collettii;Amazonie;6;neutre;moyenne;24;100;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante carnivore;Photo/AquapagnonLogo.jpg
Tetra costello/néon vert;Hemigrammus;hyanuary;Amazonie;4;neutre;moyenne;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante herbivore;Photo/AquapagnonLogo.jpg
Tétra cuivré;Hasemania;nana;Amazonie;6;acide;douce;26;100;Groupe de 5;Bon;Assez facile;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra drapeau;Hyphessobrycon;heterorhabdus;Amazonie;4;neutre;douce;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra du Congo;Phenacogrammus;interruptus;Ouest africain;10;acide;douce;25;200;Groupe de 5;Bon;Possible;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra empereur;Nematobrycon;palmeri;Colombie;5;acide;moyenne;26;100;Groupe de 5;Satisfaisant;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra fantôme noir;Megalamphodus;megalopterus;Amazonie;4;acide;douce;24;100;Groupe de 5;Bon;Possible;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra fantôme rouge;Megalamphodus;sweglesi;Amazonie froide;4;acide;douce;23;80;Groupe de 5;Bon;Possible;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra faucille;Hyphessobrycon;robertsi;Amazonie;7;neutre;moyenne;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra loreto;Hyphessobrycon;loretoensis;Amazonie;4;neutre;moyenne;24;100;Groupe de 5;Bon;Possible;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra losange;Hemigrammus;caudovittatus;Argentine;7;neutre;moyenne;23;100;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante herbivore;Photo/AquapagnonLogo.jpg
Tétra néon;Paracheirodon;innesi;Amazonie froide;4;acide;douce;23;80;Groupe de 5;Bon;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra noir/Veuve;Gymnocorymbus;ternetzi;Paraguay;4;neutre;moyenne;24;80;Groupe de 5;Satisfaisant;Facile;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra poudre d'or;Hyphessobrycon;vilmae;Amazonie;4;neutre;moyenne;24;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra rosy/rosaceus;Hyphessobrycon;rosaceus;Guyane;5;acide;douce;26;80;Groupe de 5;Très bon;Rare;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra rouge / de Rio;Hyphessobrycon;flammeus;Brésil;3;neutre;douce;23;80;Groupe de 5;Bon;Facile;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra royal;Inpaichthys;kerri;Amazonie;5;neutre;moyenne;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra sang;Hyphessobrycon;callistus;Amazonie froide;4;acide;douce;23;80;Groupe de 5;Bon;Assez facile;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra semoule rouge;Axelrodia;riesei;Amazonie;4;neutre;moyenne;23;100;Groupe de 5;Bon;empty;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra serpae;Hyphessobrycon;serpae;Paraguay;4;acide;douce;26;80;Groupe de 5;Douteux;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra soleil;Aphyocharax;paraguayensis;Guyane;6;neutre;moyenne;25;100;Groupe de 5;Bon;empty;ovipares;omnivore;Dominante carnivore;Photo/AquapagnonLogo.jpg
Tétra ulreyi;Hemigrammus;ulreyi;Paraguay;4;acide;douce;25;80;Groupe de 5;Très bon;Délicate;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
Tétra verre/moenkhausia;Moenkhausia;oligolepis;Guyane;10;acide;douce;25;300;Groupe de 5;Satisfaisant;Assez facile;ovipares;omnivore;empty;Photo/AquapagnonLogo.jpg
